Brand,Model,Launch Year,Segment,Fuel Type,Variants,Ex-Showroom Price (₹ Lakhs),Monthly Sales (Units),Is EV?,Battery / Mileage,Notable Features
Honda,Amaze,2019,Sedan,Petrol,12,6.00 - 15.00,13254,No,20.1 kmpl,"Hill Hold, ABS, Cruise Control, Leather Seats, AC, Power Windows, Voice Control"
Nissan,Magnite,2019,Electric Hatchback,Petrol,3,6.00 - 12.00,4642,No,24.1 kmpl,"360 Camera, Hill Hold, Ventilated Seats, Leather Seats, Sunroof, Apple CarPlay"
Tata,Harrier,2015,Compact SUV,Petrol/CNG,22,7.00 - 18.00,10650,No,22.0 kmpl,"TPMS, ADAS, EBD, Sunroof, Touchscreen, Cruise Control, AC, Power Windows, Wireless Charging, HUD, Apple CarPlay"
MG,Astor,2022,Electric Hatchback,Petrol,20,6.00 - 12.00,4381,No,21.4 kmpl,"EBD, Airbags, ADAS, Cruise Control, Ventilated Seats, Power Windows, Leather Seats, Android Auto, Apple CarPlay, Voice Control"
Nissan,Kicks,2015,SUV,Diesel,3,10.00 - 30.00,2944,No,25.2 kmpl,"Airbags, ABS, AC, Ventilated Seats, Touchscreen, Sunroof, Leather Seats, Android Auto, Connected Car"
Lexus,NX,2020,Compact SUV,Petrol,19,7.00 - 18.00,7398,No,21.5 kmpl,"EBD, TPMS, 360 Camera, Airbags, Touchscreen, AC, Leather Seats, Ventilated Seats, Power Windows, Voice Control, Android Auto, Wireless Charging"
Force,Gurkha,2020,SUV,Petrol,25,10.00 - 30.00,7067,No,15.6 kmpl,"Hill Hold, TPMS, Ventilated Seats, Touchscreen, AC, Power Windows, Sunroof, Android Auto, Wireless Charging, HUD"
MG,Hector,2017,Hatchback,Petrol,8,3.50 - 8.50,15669,No,19.0 kmpl,"Airbags, ABS, ESC, Leather Seats, Cruise Control, AC, Power Windows, Android Auto, Voice Control"
Mahindra,Scorpio,2017,Electric SUV,Petrol,11,12.00 - 25.00,1833,No,16.2 kmpl,"Hill Hold, ABS, ESC, TPMS, Touchscreen, Ventilated Seats, AC, Android Auto"
Skoda,Slavia,2017,Compact SUV,Petrol,14,7.00 - 18.00,11532,No,24.1 kmpl,"ESC, TPMS, 360 Camera, Power Windows, Cruise Control, Touchscreen, Ventilated Seats, Wireless Charging, Voice Control"
Kia,EV6,2021,SUV,Diesel,8,10.00 - 30.00,3059,No,26.1 kmpl,"EBD, ESC, Power Windows, Cruise Control, Leather Seats, AC, Voice Control, Connected Car"
Volkswagen,Virtus,2017,Electric SUV,Petrol,13,12.00 - 25.00,3449,No,22.2 kmpl,"Hill Hold, ESC, ABS, EBD, Power Windows, Cruise Control, Ventilated Seats, Sunroof, Touchscreen, HUD, Wireless Charging, Apple CarPlay"
Lexus,RX,2022,Hatchback,Diesel,11,3.50 - 8.50,12863,No,24.2 kmpl,"ESC, 360 Camera, ABS, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, AC, Connected Car, HUD"
Mercedes,C-Class,2015,Compact SUV,Petrol,1,7.00 - 18.00,6369,No,18.2 kmpl,"360 Camera, ADAS, Leather Seats, Touchscreen, Cruise Control, HUD"
Mahindra,XUV 300,2016,Electric Hatchback,Petrol,8,6.00 - 12.00,1843,No,16.4 kmpl,"ADAS, EBD, ESC, 360 Camera, AC, Touchscreen, Leather Seats, Sunroof, Ventilated Seats, HUD, Voice Control, Android Auto"
Renault,Kwid,2015,Hatchback,Electric,4,4.20 - 11.05,8450,Yes,326 km range,"ESC, ABS, 360 Camera, ADAS, Leather Seats, Touchscreen, Sunroof, Power Windows, Connected Car, Apple CarPlay, Android Auto"
Mahindra,Bolero,2019,Compact SUV,Petrol,14,7.00 - 18.00,9436,No,24.3 kmpl,"ABS, 360 Camera, Touchscreen, Cruise Control, Leather Seats, Wireless Charging, Android Auto"
Maruti Suzuki,Wagon R,2021,Compact SUV,Diesel,23,7.00 - 18.00,7615,No,19.2 kmpl,"ABS, Airbags, Leather Seats, Sunroof, Cruise Control, Android Auto, HUD"
BYD,E6,2021,Compact SUV,Petrol/Diesel,10,7.00 - 18.00,7921,No,18.9 kmpl,"Hill Hold, ADAS, Cruise Control, Power Windows, Ventilated Seats, Touchscreen, Leather Seats, Wireless Charging, Connected Car"
Skoda,Slavia,2018,SUV,Petrol,11,10.00 - 30.00,5685,No,20.0 kmpl,"EBD, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Apple CarPlay, Connected Car, HUD"
Mahindra,XUV 700,2019,Compact SUV,Petrol,22,7.00 - 18.00,6251,No,23.8 kmpl,"Airbags, Hill Hold, EBD, AC, Sunroof, Power Windows, Ventilated Seats, Touchscreen, HUD, Connected Car"
BMW,3 Series,2021,Hatchback,Diesel,24,3.50 - 8.50,16381,No,27.9 kmpl,"Airbags, ESC, Leather Seats, AC, Touchscreen, Apple CarPlay"
Mahindra,Marazzo,2017,Hatchback,Petrol,15,3.50 - 8.50,14627,No,19.1 kmpl,"360 Camera, EBD, TPMS, Cruise Control, Power Windows, AC, Android Auto"
Volkswagen,Virtus,2018,MPV,Petrol,20,8.00 - 20.00,2662,No,17.8 kmpl,"Hill Hold, TPMS, Sunroof, Leather Seats, Ventilated Seats, Cruise Control, Voice Control"
Lexus,ES,2017,Hatchback,Petrol,11,3.50 - 8.50,15394,No,16.9 kmpl,"ABS, ADAS, TPMS, Sunroof, Ventilated Seats, Cruise Control, Voice Control, Android Auto, HUD"
BMW,X1,2020,SUV,Petrol,8,10.00 - 30.00,4478,No,24.0 kmpl,"ADAS, TPMS, AC, Power Windows, Cruise Control, Touchscreen, Android Auto, Voice Control, Connected Car"
Kia,Carens,2020,Electric Hatchback,Petrol/CNG,1,6.00 - 12.00,1706,No,23.0 kmpl,"TPMS, 360 Camera, ADAS, Ventilated Seats, Leather Seats, Power Windows, Cruise Control, Voice Control"
Citroen,C5 Aircross,2021,Sedan,Diesel,18,6.00 - 15.00,8731,No,19.4 kmpl,"EBD, ESC, ADAS, AC, Power Windows, Leather Seats, Touchscreen, HUD"
